Абитуриент Обитуриент
абонЕмент абонИмент
Абрикос Обрикос
Академия Окадемия
аквамАрин аквамОрин
Акварель Окварель
аккомпАнемент аккомпОнемент
аннОтация аннАтация
антрЕсоли антрИсоли
Апелляция Опелляция
Аплодировать Оплодировать
арОмат арАмат
архИтектор архЕтектор
Асфальт Осфальт
атмОсфера атмАсфера
Аттракцион Оттракцион
бАгаж бОгаж
бАгровый бОгровый
бадмИнтон бадмЕнтон
бАлкон бОлкон
бАрельеф бОрельеф
бАссейн бОссейн
бЕрёза бИрёза
бЕречь бИречь
бИрюзовый бЕрюзовый
бОгатый бАгатый
бОгатырь бАгатырь
богАтырь богОтырь
брошЮра брошУра
бЮллетень бИллетень
бюллЕтень бюллИтень
вАкцина вОкцина
вентИлятор вентЕлятор
вермИшель вермЕшель
вЕстибюль вИстибюль
вестИбюль вестЕбюль
ветЕран ветИран
вИнегрет вЕнегрет
вИртуальный вЕртуальный
вИртуоз вЕртуоз
вИтраж вЕтраж
влАделец влОделец
возрАжать возрОжать
вОкзал вАкзал
вОлейбол вАлейбол
вообрАжать вообрОжать
вОплотить вАплотить
впечАтлит впечЕтлит
вырАзительный вырОзительный
вырАжать вырОжать
гАзон гОзон
гАлактика гОлактика
гАлерея гОлерея
гАрмония гОрмония
гАрнизон гОрнизон
гИпотеза гЕпотеза
гОрмон гАрмон
гОрячий гАрячий
гОризонт гАризонт
грАмматика грОмматика
грамОта грамАта
грОмадный грАмадный
грОмоздкий грАмоздкий
дЕбаты дИбаты
деклАрация деклОрация 
декОрация декАрация
деликАтес деликОтес
делИкатный делЕкатный
демОкрат демАкрат
демОнстрировать демАнстрировать
диАлог диОлог
диапАзон диапОзон
дИнамика дЕнамика
дИрижёр дЕрижёр
дирИжёр дирЕжёр
дИспетчер дЕспетчер
дИстанция дЕстанция
дИсциплина дЕсциплина
жИраф жЕраф
жОкей жАкей
жОнглёр жАнглёр
жЮри жУри
знаменИтый знаменЕтый
знаменОвать знаменАвать
идЕализировать идИализировать
иждИвенец иждЕвенец
иллюзИонист иллюзЕонист
индИвид индЕвид
инЕй инИй
инжЕнер инжИнер
инИциатива инЕциатива
интеллИгент интеллЕгент
интЕнсивный интИнсивный
интЕрьер интИрьер
искАзить искОзить
истИна истЕна
кАморка кОморка
кАникулы кОникулы
кАнитель кОнитель
кАнонада кОнонада
канОнада канАнада
кАнцелярия кОнцелярия
капюшОн капюшЁн
кАрдинальный кОрдинальный
кАрикатура кОрикатура
карикАтура карикОтура
кАтакомба кОтакомба
кАтастрофа кОтастрофа
квАлификация квОлификация
квИтанция квЕтанция
кинЕматограф кинИматограф
кОварный кАварный
